id,meetings,crosslists,max_capacity,longname,identifier,instructor,weight,external_url,slug,assigned_students,waitlisted_students,is_locked,is_required,target_capacity,description,allow_pass_fail,allow_student_add_drop
30443,"[{'id': 37239, 'location': 'Kravis 820', 'day': 2, 'starttime': '08:30:00', 'endtime': '11:45:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],50.0,(MBA - Full Term) Top Management Process,MGMTB8515-001-20221-MBA,Lori Yue,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8515-001,MGMTB8515-001-20221-MBA,47,0,False,False,50,In-person,False,True
30444,"[{'id': 37240, 'location': 'Kravis 890', 'day': 2, 'starttime': '08:30:00', 'endtime': '11:45:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],61.0,(MBA - Full Term) Data Analytics in Python,DROMB8139-001-20221-MBA,Hardeep Johar,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8139-001,DROMB8139-001-20221-MBA,43,0,False,False,61,In-person,False,True
30445,"[{'id': 37241, 'location': 'Geffen 590', 'day': 2, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],109.0,(MBA - Full Term) Think Bigger,MGMTB8577-002-20221-MBA,Sheena Iyengar,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8577-002,MGMTB8577-002-20221-MBA,105,0,False,False,109,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30446,"[{'id': 37242, 'location': 'Geffen 570', 'day': 4, 'starttime': '08:30:00', 'endtime': '11:45:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}]",[],31.0,(MBA - B Term) Shareholder Activism as Value Investing,FINCB8442-001-20221-MBA,Wei Jiang,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8442-001,FINCB8442-001-20221-MBA,31,0,True,False,31,In-person,False,True
30447,"[{'id': 37243, 'location': 'Kravis 880', 'day': 1, 'starttime': '10:20:00', 'endtime': '13:35:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],47.0,"(MBA - A Term) Challenges in Measurement & Disclosure of Environmental, Social and Governance Data",ACCTB8027-001-20221-MBA,Thomas Bourveau,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8027-001,ACCTB8027-001-20221-MBA,47,0,False,False,47,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30448,"[{'id': 37244, 'location': 'Geffen 420', 'day': 2, 'starttime': '08:30:00', 'endtime': '10:00:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}, {'id': 37245, 'location': 'Geffen 420', 'day': 4, 'starttime': '08:30:00', 'endtime': '10:00:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],29.0,(MBA - Full Term) Emerging Financial Markets,FINCB8348-001-20221-MBA,Charles Calomiris,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8348-001,FINCB8348-001-20221-MBA,21,0,False,False,29,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30449,"[{'id': 37246, 'location': 'Kravis 820', 'day': 1, 'starttime': '10:20:00', 'endtime': '13:35:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],74.0,(MBA - A Term) Business Analytics II (Half Term),DROMB8103-001-20221-MBA,Hongseok Namkoong,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8103-001,DROMB8103-001-20221-MBA,74,0,False,False,74,In-person,False,True
30450,"[{'id': 37247, 'location': 'Kravis 440', 'day': 3, 'starttime': '08:30:00', 'endtime': '11:45:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],64.0,(MBA - Full Term) Operations Strategy (Full Term),DROMB8106-001-20221-MBA,Medini Singh,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8106-001,DROMB8106-001-20221-MBA,62,0,True,False,64,In-person,False,True
30451,"[{'id': 37248, 'location': 'Kravis 880', 'day': 2, 'starttime': '15:50:00', 'endtime': '19:05:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],33.0,(MBA - Full Term) Mergers & Acquisitions in Media and Technology (Master Class),BUECB8498-001-20221-MBA,Jonathan Knee,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8498-001,BUECB8498-001-20221-MBA,33,0,False,False,33,In-person. In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30452,"[{'id': 37249, 'location': 'Kravis 820', 'day': 2, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}]",[],66.0,(MBA - B Term) High Performing Nonprofits,MGMTB8545-001-20221-MBA,Amy Houston,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8545-001,MGMTB8545-001-20221-MBA,62,0,False,False,66,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30453,"[{'id': 37250, 'location': 'Geffen 440', 'day': 2, 'starttime': '17:40:00', 'endtime': '20:55:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}]",[],46.0,(MBA - B Term) Frontiers in Retailing,MRKTB8604-001-20221-MBA,Kinshuk Jerath,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8604-001,MRKTB8604-001-20221-MBA,46,0,False,False,46,In-person,False,True
30454,"[{'id': 37251, 'location': 'Geffen 570', 'day': 4, 'starttime': '17:40:00', 'endtime': '20:55:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],40.0,(MBA - Full Term) Financial Statement Analysis and Valuation,ACCTB8009-002-20221-MBA,,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8009-002,ACCTB8009-002-20221-MBA,32,0,False,False,40,In-person,False,True
30455,"[{'id': 37976, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-22', 'enddate': '2022-01-22'}, {'id': 37977, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-01-29', 'enddate': '2022-01-29'}, {'id': 37978, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-02-05', 'enddate': '2022-02-05'}, {'id': 37979, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-12', 'enddate': '2022-02-12'}, {'id': 37980, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-19', 'enddate': '2022-02-19'}, {'id': 37981, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-26', 'enddate': '2022-02-26'}, {'id': 37982, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-05', 'enddate': '2022-03-05'}, {'id': 37983, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-03-12', 'enddate': '2022-03-12'}, {'id': 37984, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-26', 'enddate': '2022-03-26'}, {'id': 37985, 'location': '', 'day': 7, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-04-02', 'enddate': '2022-04-02'}, {'id': 37986, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-04-09', 'enddate': '2022-04-09'}, {'id': 39227, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-04-23', 'enddate': '2022-04-23'}]",[],106.0,(EMBA-NY Saturday Electives) Capital Markets & Investments,FINCB7306-001-20221-EMBA,Michaela Pagel,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7306-001,FINCB7306-001-20221-EMBA,80,0,True,False,106,In-person,False,True
30456,"[{'id': 37252, 'location': 'Geffen 570', 'day': 4, 'starttime': '08:30:00', 'endtime': '11:45:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],16.0,(MBA - A Term) VC Seminar,FINCB8385-001-20221-MBA,"Allison Baum Gates,Angela Lee",1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8385-001,FINCB8385-001-20221-MBA,16,0,True,False,16,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30457,"[{'id': 38264, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-22', 'enddate': '2022-01-22'}, {'id': 38265, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-01-29', 'enddate': '2022-01-29'}, {'id': 38266, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-05', 'enddate': '2022-02-05'}, {'id': 38267, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-12', 'enddate': '2022-02-12'}, {'id': 38268, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-02-19', 'enddate': '2022-02-19'}, {'id': 38269, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-02-26', 'enddate': '2022-02-26'}, {'id': 38270, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-03-05', 'enddate': '2022-03-05'}, {'id': 38271, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-03-12', 'enddate': '2022-03-12'}, {'id': 38272, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-26', 'enddate': '2022-03-26'}, {'id': 38273, 'location': '', 'day': 6, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-04-02', 'enddate': '2022-04-02'}, {'id': 38274, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-04-09', 'enddate': '2022-04-09'}, {'id': 39229, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-04-23', 'enddate': '2022-04-23'}]",[],50.0,(EMBA-NY Saturday Electives) Earnings Quality & Fundamental Analysis,ACCTB7008-001-20221-EMBA,Jonathan Glover,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7008-001,ACCTB7008-001-20221-EMBA,18,0,True,False,50,In-person,False,True
30458,"[{'id': 38244, 'location': '', 'day': 1, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-01-24', 'enddate': '2022-01-24'}, {'id': 38245, 'location': '', 'day': 2, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-01-25', 'enddate': '2022-01-25'}, {'id': 38246, 'location': '', 'day': 3, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-01-26', 'enddate': '2022-01-26'}, {'id': 38247, 'location': '', 'day': 4, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-01-27', 'enddate': '2022-01-27'}, {'id': 38248, 'location': '', 'day': 5, 'starttime': '09:00:00', 'endtime': '17:00:00', 'startdate': '2022-01-28', 'enddate': '2022-01-28'}]",[],50.0,(EMBA - Global Block Week) Value Investing Across the Capital Structure,FINCB7383-100-20221-EMBA,Keith Luh,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7383-100,FINCB7383-100-20221-EMBA,42,0,True,False,50,In-person,False,True
30459,"[{'id': 37253, 'location': 'Kravis 820', 'day': 3, 'starttime': '15:50:00', 'endtime': '19:05:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],48.0,(MBA - Full Term) Anti-Trust in the Modern Economy,BUECB8263-001-20221-MBA,Paola Valenti,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8263-001,BUECB8263-001-20221-MBA,35,0,False,False,48,In-person,False,True
30460,"[{'id': 37254, 'location': 'Kravis 680', 'day': 4, 'starttime': '17:40:00', 'endtime': '20:55:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],45.0,(MBA - A Term) Global Economic Environment II: Macroeconomic Policy,BUECB8250-003-20221-MBA,Francesco Bianchi,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8250-003,BUECB8250-003-20221-MBA,24,0,False,False,45,In-person,False,True
30461,"[{'id': 37255, 'location': 'Geffen 380', 'day': 2, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}]",[],25.0,(PhD - B Term) Dynamic Programming II,DROMB9152-001-20221-MSPHD,Daniel Russo,1.5,https://www8.gsb.columbia.edu/courses/PHD/2022/Spring/B9152-001,DROMB9152-001-20221-MSPHD,20,0,True,False,25,In-person,False,True
30462,"[{'id': 37256, 'location': 'Kravis 670', 'day': 4, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],65.0,(MBA - Full Term) Foundations of Innovation,MRKTB8667-002-20221-MBA,Melanie Brucks,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8667-002,MRKTB8667-002-20221-MBA,65,0,False,False,65,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30463,"[{'id': 37257, 'location': 'Kravis 670', 'day': 4, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],3.0,(MBA - Full Term) Foundations of Innovation,MRKTB8667-002-20221-MSPHD,Melanie Brucks,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8667-002,MRKTB8667-002-20221-MSPHD,3,0,True,False,3,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30464,"[{'id': 37258, 'location': 'Kravis 670', 'day': 4, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],5.0,(MBA - Full Term) Foundations of Innovation,MRKTB8667-002-20221-MSBA,Melanie Brucks,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8667-002,MRKTB8667-002-20221-MSBA,5,0,True,False,5,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30465,"[{'id': 37259, 'location': 'Geffen 640', 'day': 1, 'starttime': '14:00:00', 'endtime': '15:30:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}, {'id': 37260, 'location': 'Geffen 640', 'day': 3, 'starttime': '14:00:00', 'endtime': '15:30:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],52.0,(MBA - A Term) Real Estate Analytics,FINCB8474-001-20221-MBA,Stijn Van Nieuwerburgh,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8474-001,FINCB8474-001-20221-MBA,9,0,False,False,52,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30466,"[{'id': 37261, 'location': 'Geffen 640', 'day': 1, 'starttime': '14:00:00', 'endtime': '15:30:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}, {'id': 37262, 'location': 'Geffen 640', 'day': 3, 'starttime': '14:00:00', 'endtime': '15:30:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],15.0,(MBA - A Term) Real Estate Analytics,FINCB8474-001-20221-MSPHD,Stijn Van Nieuwerburgh,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8474-001,FINCB8474-001-20221-MSPHD,11,0,True,False,15,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30467,"[{'id': 37263, 'location': 'Geffen 620', 'day': 4, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}]",[],47.0,(MBA - B Term) Short Selling,FINCB8401-001-20221-MBA,"David Horn,Jaime Lester",1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8401-001,FINCB8401-001-20221-MBA,47,0,True,False,47,In-person,False,True
30468,"[{'id': 37264, 'location': 'Geffen 420', 'day': 2, 'starttime': '15:50:00', 'endtime': '17:20:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}, {'id': 37265, 'location': 'Geffen 420', 'day': 4, 'starttime': '15:50:00', 'endtime': '17:20:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],71.0,(MBA - A Term) Technology Strategy,MGMTB8570-003-20221-MBA,Dan Wang,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8570-003,MGMTB8570-003-20221-MBA,71,0,False,False,71,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30469,"[{'id': 37266, 'location': 'Geffen 390', 'day': 4, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],64.0,(MBA - Full Term) Operations Strategy (Full Term),DROMB8106-003-20221-MBA,Medini Singh,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8106-003,DROMB8106-003-20221-MBA,62,0,False,False,64,In-person,False,True
30470,"[{'id': 37267, 'location': 'Geffen 570', 'day': 3, 'starttime': '12:10:00', 'endtime': '13:40:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],29.0,(MBA - Full Term) Global Immersion: Africa's Consumer Market: The Case of Ghana,BUSIB8779-001-20221-MBA,Stephan Meier,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8779-001,BUSIB8779-001-20221-MBA,29,0,False,False,29,In-person. Attendance at first class is mandatory for all enrolled students as well as those on a waitlist or who hope to add the class during Add/Drop.,False,True
30471,"[{'id': 37268, 'location': 'Kravis 690', 'day': 1, 'starttime': '10:20:00', 'endtime': '13:35:00', 'startdate': '2022-01-24', 'enddate': '2022-03-04'}]",[],0.0,(MBA - A Term) Customer Management: Concepts and Models,MRKTB8602-001-20221-MBA,Kinshuk Jerath,1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8602-001,MRKTB8602-001-20221-MBA,0,0,False,False,0,In-person,False,True
30472,"[{'id': 37269, 'location': 'Geffen 570', 'day': 2, 'starttime': '17:40:00', 'endtime': '20:55:00', 'startdate': '2022-01-24', 'enddate': '2022-04-29'}]",[],18.0,(MBA - Full Term) Process Improvement & Growth,DROMB8102-001-20221-MBA,Nelson Fraiman,3.0,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8102-001,DROMB8102-001-20221-MBA,18,0,True,False,18,In-person,False,True
30473,"[{'id': 38302, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-01-08', 'enddate': '2022-01-08'}, {'id': 38303, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-21', 'enddate': '2022-01-21'}, {'id': 38304, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-01-22', 'enddate': '2022-01-22'}, {'id': 38305, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-02-05', 'enddate': '2022-02-05'}, {'id': 38306, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-02-18', 'enddate': '2022-02-18'}, {'id': 38307, 'location': '', 'day': 5, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-04', 'enddate': '2022-03-04'}, {'id': 38308, 'location': '', 'day': 5, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-03-11', 'enddate': '2022-03-11'}, {'id': 38309, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-12', 'enddate': '2022-03-12'}, {'id': 38310, 'location': '', 'day': 6, 'starttime': '15:45:00', 'endtime': '18:45:00', 'startdate': '2022-03-26', 'enddate': '2022-03-26'}, {'id': 38311, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-04-08', 'enddate': '2022-04-08'}, {'id': 38312, 'location': '', 'day': 6, 'starttime': '08:30:00', 'endtime': '11:30:00', 'startdate': '2022-04-09', 'enddate': '2022-04-09'}, {'id': 39232, 'location': '', 'day': 5, 'starttime': '12:30:00', 'endtime': '15:30:00', 'startdate': '2022-01-07', 'enddate': '2022-01-07'}]",[],45.0,(EMBA-NY Friday/Saturday Electives) Anti-Trust in the Modern Economy,BUECB7263-001-20221-EMBA,Paola Valenti,3.0,https://www8.gsb.columbia.edu/courses/EMBA/2022/Spring/B7263-001,BUECB7263-001-20221-EMBA,6,0,True,False,45,In-person,False,True
30474,"[{'id': 37270, 'location': 'Geffen 440', 'day': 1, 'starttime': '14:00:00', 'endtime': '17:15:00', 'startdate': '2022-03-21', 'enddate': '2022-04-29'}]",[],46.0,(MBA - B Term) Succeeding in Consulting: from Project Manager to CEO Advisor,MRKTB8605-001-20221-MBA,"Toos Daruvala,Joseph Timko",1.5,https://www8.gsb.columbia.edu/courses/MBA/2022/Spring/B8605-001,MRKTB8605-001-20221-MBA,42,0,False,False,46,In-person,False,True
